1	1	N-	----NSF-	13442	Βίβλος	βιβλος	βιβλος	βίβλος			
1	1	N-	----GSF-	13634	γενέσεως	γενεσεως	γενεσεως	γένεσις			
1	1	N-	----GSM-	9538	Ἰησοῦ	ἰησου	ιησου	Ἰησοῦς			
1	1	N-	----GSM-	9538	χριστοῦ	χριστου	χριστου	Χριστός			
1	1	N-	----GSM-	9538	υἱοῦ	υἱου	υιου	υἱός			
1	1	N-	----GSM-	9538	Δαυὶδ	δαυιδ	δαυιδ	Δαυίδ			
1	1	N-	----GSM-	9538	υἱοῦ	υἱου	υιου	υἱός			
1	1	N-	----GSM-	9538	Ἀβραάμ	ἀβρααμ	αβρααμ	Ἀβραάμ			.
1	2	N-	----NSM-	9346	Ἀβραὰμ	ἀβρααμ	αβρααμ	Ἀβραάμ			
1	2	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω			
1	2	RA	----ASM-	10	τὸν	τον	τον	ὁ			
1	2	N-	----ASM-	9474	Ἰσαάκ	ἰσαακ	ισαακ	Ἰσαάκ			,
1	2	N-	----NSM-	9346	Ἰσαὰκ	ἰσαακ	ισαακ	Ἰσαάκ			
1	2	C-	--------	4	δὲ	δε	δε	δέ			
1	2	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω			
1	2	RA	----ASM-	10	τὸν	τον	τον	ὁ			
1	2	N-	----ASM-	9474	Ἰακώβ	ἰακωβ	ιακωβ	Ἰακώβ			,
1	2	N-	----NSM-	9346	Ἰακὼβ	ἰακωβ	ιακωβ	Ἰακώβ			
1	2	C-	--------	4	δὲ	δε	δε	δέ			
1	2	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω			
1	2	RA	----ASM-	10	τὸν	τον	τον	ὁ			
1	2	N-	----ASM-	9474	Ἰούδαν	ἰουδαν	ιουδαν	Ἰούδας			
1	2	C-	--------	4	καὶ	και	και	καί			
1	2	RA	----APM-	10	τοὺς	τους	τους	ὁ			
1	2	N-	----APM-	9986	ἀδελφοὺς	ἀδελφους	αδελφους	ἀδελφός			
1	2	RP	----GSM-	13	αὐτοῦ	αὐτου	αυτου	αὐτός			,
1	3	N-	----NSM-	9346	Ἰούδας	ἰουδας	ιουδας	Ἰούδας			
1	3	C-	--------	4	δὲ	δε	δε	δέ			
1	3	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω			
1	3	RA	----ASM-	10	τὸν	τον	τον	ὁ			
1	3	N-	----ASM-	9474	Φαρὲς	φαρες	φαρες	Φαρές			
1	3	C-	--------	4	καὶ	και	και	καί			
1	3	RA	----ASM-	10	τὸν	τον	τον	ὁ			
1	3	N-	----ASM-	9474	Ζάρα	ζαρα	ζαρα	Ζάρα			
1	3	P-	--------	7	ἐκ	ἐκ	εκ	ἐκ			
1	3	RA	----GSF-	10	τῆς	της	της	ὁ			
1	3	N-	----GSF-	13634	Θαμάρ	θαμαρ	θαμαρ	Θαμάρ			,
1	3	N-	----NSM-	9346	Φαρὲς	φαρες	φαρες	Φαρές			
1	3	C-	--------	4	δὲ	δε	δε	δέ			
1	3	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω			
1	3	RA	----ASM-	10	τὸν	τον	τον	ὁ			
1	3	N-	----ASM-	9474	Ἑσρώμ	ἑσρωμ	εσρωμ	Ἑσρώμ			,
1	3	N-	----NSM-	9346	Ἑσρὼμ	ἑσρωμ	εσρωμ	Ἑσρώμ			
1	3	C-	--------	4	δὲ	δε	δε	δέ			
1	3	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω			
1	3	RA	----ASM-	10	τὸν	τον	τον	ὁ			
1	3	N-	----ASM-	9474	Ἀράμ	ἀραμ	αραμ	Ἀράμ			,
1	4	N-	----NSM-	9346	Ἀρὰμ	ἀραμ	αραμ	Ἀράμ			
1	4	C-	--------	4	δὲ	δε	δε	δέ			
1	4	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω			
1	4	RA	----ASM-	10	τὸν	τον	τον	ὁ			
1	4	N-	----ASM-	9474	Ἀμιναδάβ	ἀμιναδαβ	αμιναδαβ	Ἀμιναδάβ			,
1	4	N-	----NSM-	9346	Ἀμιναδὰβ	ἀμιναδαβ	αμιναδαβ	Ἀμιναδάβ			
1	4	C-	--------	4	δὲ	δε	δε	δέ			
1	4	V-	3AAI-S--	633473	ἐγέννησεν	ἐγεννησεν	εγεννησεν	γεννάω			
1	4	RA	----ASM-	10	τὸν	τον	τον	ὁ			
1	4	N-	----ASM-	9474	Ναασσών	ναασσων	ναασσων	Ναασσών			,
1	4	N-	----NSM-	9346	Ναασσὼν	ναασσων	ναασσων	Ναασσών			
1	4	C-	--------	4	δὲ	δε	δε	δέ			
